Transcription-Units,Genes of transcription unit,Left-End-Position,Right-End-Position,Transcription-Direction
,G133T-3438,3252181,3254505,-
 // ,G133T-3437 // G133T-3436,3250193 // 3248452,3252010 // 3250167,-
,G133T-3435,3246185,3248197,-
,G133T-3434,3245656,3246141,+
,G133T-3433,3244603,3245385,-
 // ,G133T-3432 // G133T-3431,3243889 // 3243126,3244572 // 3243908,+
,G133T-3430,3240208,3242061,+
 // ,G133T-343 // G133T-342,310005 // 309352,310847 // 310047,+
,G133T-3429,3239626,3240108,+
,G133T-3428,3239319,3239459,-
,G133T-3427,3237510,3238919,-
,G133T-3426,3237268,3237432,-
,G133T-3425,3236328,3237275,+
 //  // ,G133T-3424 // G133T-3423 // G133T-3422,3235076 // 3234066 // 3233241,3236275 // 3235076 // 3234050,-
 //  // ,G133T-3421 // G133T-3420 // G133T-3419,3231877 // 3231204 // 3229982,3233070 // 3231893 // 3231211,-
,G133T-3418,3229538,3229948,+
 //  // ,G133T-3417 // G133T-3416 // G133T-3415,3228320 // 3228214 // 3228047,3229477 // 3228336 // 3228199,+
,G133T-3414,3227316,3227888,-
,G133T-3413,3224468,3226189,-
,G133T-3412,3223518,3224396,-
,G133T-3411,3222689,3223480,+
,G133T-3410,3222400,3222549,+
,G133T-341,308337,309296,+
 //  //  // ,G133T-3409 // G133T-3408 // G133T-3407 // G133T-3406,3221347 // 3220323 // 3218995 // 3218391,3222291 // 3221306 // 3220326 // 3218972,-
,G133T-3405,3216946,3218214,-
,G133T-3404,3216836,3216955,+
 // ,G133T-3403 // G133T-3402,3216404 // 3215700,3216784 // 3216377,-
 //  // ,G133T-3401 // G133T-3400 // G133T-3399,3214727 // 3213968 // 3212889,3215599 // 3214693 // 3213971,-
 // ,G133T-340 // G133T-339,306464 // 305663,308149 // 306439,+
 //  //  //  // ,G133T-34 // G133T-33 // G133T-32 // G133T-31 // G133T-30,35237 // 32177 // 32020 // 31932 // 30278,35352 // 35104 // 32092 // 32005 // 31832,+
,G133T-3398,3212276,3212911,-
 //  // ,G133T-3397 // G133T-3396 // G133T-3395,3211147 // 3210053 // 3208636,3212268 // 3211150 // 3210084,+
,G133T-3394,3208333,3208518,-
,G133T-3393,3206878,3208266,-
,G133T-3392,3205967,3206842,+
,G133T-3391,3205635,3205799,-
 // ,G133T-3390 // G133T-3389,3204252 // 3203578,3205607 // 3204255,+
,G133T-3388,3201924,3203300,-
,G133T-3387,3201419,3201880,+
,G133T-3386,3200487,3201329,+
,G133T-3385,3198011,3198448,-
 // ,G133T-3384 // G133T-3383,3196966 // 3196654,3197853 // 3196941,-
,G133T-3382,3195747,3196634,+
,G133T-3381,3194471,3194773,-
 // ,G133T-3380 // G133T-3379,3192810 // 3192346,3194435 // 3192813,+
,G133T-338,304435,305556,+
 // ,G133T-3378 // G133T-3377,3191855 // 3191597,3192187 // 3191842,+
,G133T-3376,3190594,3191502,-
,G133T-3375,3190423,3190569,+
 //  // ,G133T-3374 // G133T-3373 // G133T-3372,3187879 // 3186693 // 3184894,3190248 // 3187868 // 3186678,-
,G133T-3371,3184427,3184783,-
,G133T-3370,3183977,3184360,-
,G133T-337,303809,304204,-
,G133T-3369,3183685,3183921,-
 // ,G133T-3368 // G133T-3367,3183245 // 3182923,3183613 // 3183243,-
,G133T-3366,3182472,3182816,-
 //  //  // ,G133T-3365 // G133T-3364 // G133T-3363 // G133T-3362,3182166 // 3181120 // 3180459 // 3179621,3182294 // 3182145 // 3181127 // 3180445,-
,G133T-3361,3179159,3179536,-
,G133T-3360,3179012,3179131,+
,G133T-336,302302,303801,+
 //  //  //  //  //  // ,G133T-3359 // G133T-3358 // G133T-3357 // G133T-3356 // G133T-3355 // G133T-3354 // G133T-3353,3178828 // 3178668 // 3177849 // 3176518 // 3175298 // 3174865 // 3173447,3178965 // 3178865 // 3178634 // 3177831 // 3176518 // 3175308 // 3174844,-
,G133T-3352,3172405,3172788,-
 // ,G133T-3351 // G133T-3350,3172066 // 3171920,3172341 // 3172066,+
,G133T-335,300835,302253,+
,G133T-3349,3170643,3171761,-
,G133T-3348,3170166,3170540,-
,G133T-3347,3168964,3169950,-
,G133T-3346,3167615,3168883,-
 //  // ,G133T-3345 // G133T-3344 // G133T-3343,3166679 // 3165773 // 3164905,3167557 // 3166675 // 3165759,-
,G133T-3342,3164152,3164880,+
,G133T-3341,3162867,3163970,-
,G133T-3340,3161967,3162833,+
,G133T-334,299443,300507,-
,G133T-3339,3161748,3161885,+
 // ,G133T-3338 // G133T-3337,3160287 // 3159020,3161525 // 3160270,-
 //  //  //  // ,G133T-3336 // G133T-3335 // G133T-3334 // G133T-3333 // G133T-3332,3157799 // 3157185 // 3156355 // 3154117 // 3153605,3158791 // 3157802 // 3157188 // 3156354 // 3154126,-
,G133T-3331,3153031,3153186,-
 //  //  // ,G133T-3330 // G133T-3329 // G133T-3328 // G133T-3327,3152500 // 3151016 // 3149711 // 3148356,3152844 // 3152500 // 3151003 // 3149705,+
,G133T-333,298471,299403,+
,G133T-3326,3146616,3148211,+
,G133T-3325,3145101,3146441,-
 //  //  // ,G133T-3324 // G133T-3323 // G133T-3322 // G133T-3321,3144657 // 3143771 // 3142932 // 3141524,3145004 // 3144619 // 3143753 // 3142912,-
,G133T-3320,3141154,3141459,-
 // ,G133T-332 // G133T-331,297175 // 296434,298335 // 297174,+
,G133T-3319,3140317,3141042,-
,G133T-3318,3139291,3140289,+
,G133T-3317,3138178,3139074,-
,G133T-3316,3137530,3138162,+
 //  // ,G133T-3315 // G133T-3314 // G133T-3313,3137140 // 3136682 // 3135883,3137415 // 3137116 // 3136653,-
,G133T-3312,3135356,3135856,+
 // ,G133T-3311 // G133T-3310,3135206 // 3134184,3135319 // 3135203,-
 //  // ,G133T-3309 // G133T-3308 // G133T-3307,3132682 // 3131624 // 3130698,3133983 // 3132682 // 3131627,-
,G133T-3306,3128617,3130590,-
,G133T-3305,3128339,3128575,+
,G133T-3304,3127814,3128140,-
,G133T-3303,3126721,3127788,+
,G133T-3302,3126222,3126458,-
,G133T-3301,3124871,3126085,-
,G133T-3300,3123894,3124748,-
 // ,G133T-330 // G133T-329,295589 // 294620,296290 // 295576,-
,G133T-3299,3123453,3123818,-
 // ,G133T-3298 // G133T-3297,3122597 // 3121950,3123115 // 3122573,-
,G133T-3296,3120896,3121876,+
,G133T-3295,3120477,3120617,-
,G133T-3294,3119440,3120438,+
,G133T-3293,3119194,3119310,+
,G133T-3292,3117888,3119147,-
,G133T-3291,3117572,3117715,-
,G133T-3290,3117198,3117518,-
,G133T-3289,3116438,3117091,-
,G133T-3288,3115931,3116407,+
,G133T-3287,3114271,3115773,-
,G133T-3286,3112796,3114124,-
,G133T-3285,3112124,3112726,+
,G133T-3284,3111427,3112023,-
,G133T-3283,3110344,3111225,-
 //  //  //  //  // ,G133T-3282 // G133T-3281 // G133T-3280 // G133T-3279 // G133T-3278 // G133T-3277,3109365 // 3108143 // 3106495 // 3105529 // 3098373 // 3098148,3110183 // 3109339 // 3108114 // 3106467 // 3105509 // 3098357,-
,G133T-328,293504,294580,+
,G133T-3276,3097427,3098104,+
,G133T-3275,3096179,3097315,+
,G133T-3274,3094854,3096077,+
,G133T-3273,3094660,3094830,-
,G133T-3272,3093995,3094288,-
 // ,G133T-3271 // G133T-3270,3093686 // 3092316,3093925 // 3093671,-
,G133T-327,292886,293251,-
 //  // ,G133T-3269 // G133T-3268 // G133T-3267,3087768 // 3084541 // 3084054,3092255 // 3087771 // 3084560,-
,G133T-3266,3083260,3083991,-
,G133T-3265,3082532,3083062,-
,G133T-3264,3082119,3082355,-
,G133T-3263,3081689,3082078,+
,G133T-3262,3080465,3081574,-
,G133T-3261,3080184,3080405,-
,G133T-3260,3079863,3080111,-
,G133T-326,292210,292848,+
,G133T-3259,3079393,3079791,-
 // ,G133T-3258 // G133T-3257,3078745 // 3077257,3079296 // 3078729,-
,G133T-3256,3075891,3077120,-
,G133T-3255,3075547,3075915,+
,G133T-3254,3075308,3075433,+
,G133T-3253,3074946,3075086,-
 //  // ,G133T-3252 // G133T-3251 // G133T-3250,3073862 // 3073707 // 3071383,3074761 // 3073874 // 3073692,-
,G133T-325,290920,292047,+
 // ,G133T-3249 // G133T-3248,3070658 // 3070259,3071302 // 3070639,-
 //  //  //  //  //  // ,G133T-3247 // G133T-3246 // G133T-3245 // G133T-3244 // G133T-3243 // G133T-3242 // G133T-3241,3069846 // 3069578 // 3069102 // 3067606 // 3067281 // 3066850 // 3064452,3070220 // 3069862 // 3069578 // 3069096 // 3067622 // 3067281 // 3066857,+
,G133T-3240,3064006,3064221,-
,G133T-324,290763,290897,-
,G133T-3239,3062624,3063970,+
 //  // ,G133T-3238 // G133T-3237 // G133T-3236,3061511 // 3060464 // 3058939,3062470 // 3061510 // 3060471,+
,G133T-3235,3057784,3058863,+
 // ,G133T-3234 // G133T-3233,3056638 // 3055011,3057312 // 3056612,+
,G133T-3232,3054276,3054833,-
 // ,G133T-3231 // G133T-3230,3053660 // 3051771,3054073 // 3053639,+
,G133T-323,290137,290703,-
,G133T-3229,3050614,3051672,+
,G133T-3228,3050358,3050561,-
,G133T-3227,3049253,3049639,+
,G133T-3226,3047921,3049207,+
,G133T-3225,3046632,3047795,+
,G133T-3224,3046285,3046545,-
,G133T-3223,3045435,3046256,+
 // ,G133T-3222 // G133T-3221,3044787 // 3043626,3045287 // 3044786,-
,G133T-3220,3043032,3043424,-
,G133T-322,288658,290091,-
,G133T-3219,3042718,3042954,+
,G133T-3218,3041325,3042488,-
,G133T-3217,3040049,3041221,-
 // ,G133T-3216 // G133T-3215,3038585 // 3038155,3039937 // 3038583,-
,G133T-3214,3037691,3038095,-
 // ,G133T-3213 // G133T-3212,3036708 // 3036379,3037694 // 3036711,+
,G133T-3211,3036069,3036332,-
,G133T-3210,3035350,3036027,-
,G133T-321,287504,288616,+
,G133T-3209,3034017,3035306,-
 //  // ,G133T-3208 // G133T-3207 // G133T-3206,3032226 // 3032066 // 3031708,3033890 // 3032200 // 3032106,-
,G133T-3205,3031559,3031696,+
,G133T-3204,3031196,3031450,-
,G133T-3203,3030445,3031182,+
,G133T-3202,3028299,3030287,-
,G133T-3201,3026134,3028122,-
,G133T-3200,3024023,3026011,-
,G133T-320,286778,287425,-
 //  // ,G133T-3199 // G133T-3198 // G133T-3197,3021921 // 3021737 // 3019714,3023909 // 3021883 // 3021783,-
 //  //  // ,G133T-3196 // G133T-3195 // G133T-3194 // G133T-3193,3018881 // 3017419 // 3017087 // 3015787,3019657 // 3018876 // 3017401 // 3017061,-
,G133T-3192,3014760,3015746,+
,G133T-3191,3013412,3014578,-
,G133T-3190,3012489,3013319,-
,G133T-319,286053,286781,+
,G133T-3189,3012394,3012534,+
,G133T-3188,3012309,3012381,-
,G133T-3187,3011717,3012202,+
,G133T-3186,3009697,3011232,-
,G133T-3185,3008688,3009536,-
,G133T-3184,3008316,3008579,-
 // ,G133T-3183 // G133T-3182,3006943 // 3006268,3008280 // 3006936,+
,G133T-3181,3005357,3005902,+
,G133T-3180,3004617,3005159,+
 //  // ,G133T-318 // G133T-317 // G133T-316,285780 // 284016 // 283821,285992 // 285767 // 283997,+
 // ,G133T-3179 // G133T-3178,3002946 // 3001721,3004418 // 3002932,-
,G133T-3177,3001055,3001633,-
,G133T-3176,3000558,3001049,+
 //  // ,G133T-3175 // G133T-3174 // G133T-3173,2999869 // 2998319 // 2997780,3000444 // 2999848 // 2998301,-
,G133T-3172,2997160,2997738,+
 //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  // ,G133T-3171 // G133T-3170 // G133T-3169 // G133T-3168 // G133T-3167 // G133T-3166 // G133T-3165 // G133T-3164 // G133T-3163 // G133T-3162 // G133T-3161 // G133T-3160 // G133T-3159 // G133T-3158 // G133T-3157 // G133T-3156 // G133T-3155 // G133T-3154 // G133T-3153 // G133T-3152 // G133T-3151 // G133T-3150 // G133T-3149 // G133T-3148,2994941 // 2991846 // 2991675 // 2991580 // 2991472 // 2991359 // 2991262 // 2991182 // 2991079 // 2990996 // 2990904 // 2990823 // 2990730 // 2990651 // 2990552 // 2990458 // 2990370 // 2990282 // 2990189 // 2990105 // 2990013 // 2989928 // 2989834 // 2989734,2996494 // 2994773 // 2991790 // 2991652 // 2991544 // 2991431 // 2991345 // 2991253 // 2991164 // 2991069 // 2990977 // 2990895 // 2990803 // 2990724 // 2990641 // 2990531 // 2990443 // 2990354 // 2990261 // 2990175 // 2990086 // 2989999 // 2989921 // 2989805,-
,G133T-315,283008,283739,+
 //  //  //  // ,G133T-3147 // G133T-3146 // G133T-3145 // G133T-3144 // G133T-3143,2987618 // 2986479 // 2985424 // 2983973 // 2981590,2989501 // 2987621 // 2986455 // 2985427 // 2983986,-
,G133T-3142,2981092,2981559,+
,G133T-3141,2979951,2981012,+
 //  // ,G133T-3140 // G133T-3139 // G133T-3138,2978616 // 2977546 // 2977113,2979749 // 2978601 // 2977544,-
,G133T-314,282474,282902,+
 //  // ,G133T-3137 // G133T-3136 // G133T-3135,2975816 // 2974863 // 2973580,2977039 // 2975813 // 2974866,+
,G133T-3134,2972590,2973408,-
,G133T-3133,2971862,2972581,+
 //  //  //  //  // ,G133T-3132 // G133T-3131 // G133T-3130 // G133T-3129 // G133T-3128 // G133T-3127,2970157 // 2968418 // 2967606 // 2966756 // 2965205 // 2964093,2971617 // 2970160 // 2968430 // 2967571 // 2966665 // 2965208,-
,G133T-313,282245,282391,+
 //  //  // ,G133T-3126 // G133T-3125 // G133T-3124 // G133T-3123,2962893 // 2962122 // 2960809 // 2959932,2963813 // 2962874 // 2962116 // 2960819,-
,G133T-3122,2959755,2959913,+
,G133T-3121,2958661,2959701,+
,G133T-3120,2957286,2958617,+
,G133T-312,281774,282160,-
,G133T-3119,2956833,2957081,-
,G133T-3118,2956176,2956739,-
,G133T-3117,2955952,2956179,+
,G133T-3116,2955350,2955823,-
,G133T-3115,2954793,2955230,-
,G133T-3114,2954659,2954799,+
,G133T-3113,2954093,2954530,-
,G133T-3112,2953523,2953927,-
,G133T-3111,2952838,2953314,-
,G133T-3110,2951999,2952811,+
 // ,G133T-311 // G133T-310,281030 // 280091,281719 // 281014,+
 // ,G133T-3109 // G133T-3108,2951242 // 2950225,2952024 // 2951229,+
,G133T-3107,2949301,2950074,-
,G133T-3106,2949007,2949249,-
,G133T-3105,2947385,2948968,+
,G133T-3104,2945680,2946882,-
,G133T-3103,2943632,2945530,-
,G133T-3102,2942105,2943496,-
,G133T-3101,2941345,2941860,+
 // ,G133T-3100 // G133T-3099,2940517 // 2939393,2941296 // 2940499,-
 // ,G133T-3098 // G133T-3097,2938819 // 2937854,2939403 // 2938822,+
,G133T-3096,2937420,2937692,-
 //  //  //  //  //  // ,G133T-3095 // G133T-3094 // G133T-3093 // G133T-3092 // G133T-3091 // G133T-3090 // G133T-3089,2937128 // 2936702 // 2935831 // 2934851 // 2933844 // 2933134 // 2931834,2937265 // 2937094 // 2936709 // 2935837 // 2934821 // 2933829 // 2933144,-
 // ,G133T-309 // G133T-308,279064 // 278370,279999 // 279062,+
 // ,G133T-3088 // G133T-3087,2931042 // 2930045,2931791 // 2931049,-
 // ,G133T-3086 // G133T-3085,2929182 // 2927252,2929943 // 2929192,-
,G133T-3084,2926469,2927215,+
,G133T-3083,2925087,2926280,-
,G133T-3082,2924065,2924850,+
 // ,G133T-3081 // G133T-3080,2923663 // 2923325,2923782 // 2923660,-
,G133T-3079,2920484,2922898,-
,G133T-3078,2920056,2920367,-
 //  //  //  // ,G133T-3077 // G133T-3076 // G133T-3075 // G133T-3074 // G133T-3073,2918736 // 2917886 // 2916978 // 2915705 // 2914637,2920034 // 2918716 // 2917889 // 2916985 // 2915671,+
,G133T-3072,2913520,2914419,-
 //  //  //  //  // ,G133T-3071 // G133T-3070 // G133T-3069 // G133T-3068 // G133T-3067 // G133T-3066,2912534 // 2911198 // 2910039 // 2909347 // 2908337 // 2907081,2913268 // 2912544 // 2911169 // 2910042 // 2909344 // 2908313,-
 // ,G133T-307 // G133T-306,277347 // 277165,278285 // 277326,+
,G133T-3065,2906243,2907004,-
 // ,G133T-3064 // G133T-3063,2905176 // 2903655,2906057 // 2905151,-
,G133T-3062,2901308,2903614,+
 // ,G133T-3061 // G133T-3060,2900115 // 2898986,2901080 // 2900107,-
,G133T-3059,2898486,2898908,-
 // ,G133T-3058 // G133T-3057,2897188 // 2896498,2898429 // 2897166,-
,G133T-3056,2896248,2896430,-
,G133T-3055,2894673,2896211,+
,G133T-3054,2893198,2894484,+
,G133T-3053,2891386,2893020,-
,G133T-3052,2890598,2891317,-
,G133T-3051,2890304,2890477,+
 // ,G133T-3050 // G133T-3049,2889255 // 2888101,2889965 // 2889258,-
,G133T-305,275843,276763,+
,G133T-3048,2886835,2888061,+
,G133T-3047,2885275,2886666,-
,G133T-3046,2884306,2885241,+
 // ,G133T-3045 // G133T-3044,2883606 // 2882666,2884157 // 2883580,-
 // ,G133T-3043 // G133T-3042,2881688 // 2879506,2882617 // 2881662,-
,G133T-3041,2878529,2879338,-
,G133T-3040,2878250,2878528,+
,G133T-304,275524,275649,-
,G133T-3039,2877402,2878043,-
,G133T-3038,2876485,2877330,-
,G133T-3037,2874703,2876403,-
,G133T-3036,2874333,2874650,+
,G133T-3035,2873101,2874174,-
,G133T-3034,2872600,2873046,+
 //  //  // ,G133T-3033 // G133T-3032 // G133T-3031 // G133T-3030,2872404 // 2872042 // 2871218 // 2870597,2872520 // 2872365 // 2872027 // 2871202,-
 //  //  //  //  // ,G133T-303 // G133T-302 // G133T-301 // G133T-300 // G133T-299 // G133T-298,274034 // 273242 // 271805 // 270401 // 268851 // 267895,275566 // 273943 // 273172 // 271768 // 270317 // 268821,+
,G133T-3029,2867579,2870437,-
,G133T-3028,2866031,2867329,-
 //  // ,G133T-3027 // G133T-3026 // G133T-3025,2865447 // 2864961 // 2864611,2865869 // 2865419 // 2864937,-
,G133T-3024,2863299,2864384,-
,G133T-3023,2862019,2863023,-
 // ,G133T-3022 // G133T-3021,2861138 // 2860420,2861956 // 2861148,-
 //  // ,G133T-3020 // G133T-3019 // G133T-3018,2859246 // 2858605 // 2857946,2860409 // 2859249 // 2858578,+
,G133T-3017,2856067,2857785,-
,G133T-3016,2854457,2855725,-
,G133T-3015,2854208,2854327,-
,G133T-3014,2853584,2854186,+
,G133T-3013,2853372,2853521,-
,G133T-3012,2851550,2853289,-
,G133T-3011,2851021,2851512,+
,G133T-3010,2850271,2850894,-
,G133T-3009,2849468,2850274,+
,G133T-3008,2847583,2849271,-
,G133T-3007,2846151,2847488,+
 // ,G133T-3006 // G133T-3005,2844811 // 2843602,2845956 // 2844807,-
,G133T-3004,2843299,2843508,-
 // ,G133T-3003 // G133T-3002,2841531 // 2839922,2843120 // 2841511,-
 // ,G133T-3001 // G133T-3000,2839087 // 2838966,2839890 // 2839106,+
 // ,G133T-2999 // G133T-2998,2837894 // 2837387,2838901 // 2837881,-
 // ,G133T-2997 // G133T-2996,2836632 // 2836163,2837312 // 2836618,-
,G133T-2995,2835550,2836053,-
 // ,G133T-2994 // G133T-2993,2834500 // 2834325,2835489 // 2834462,-
,G133T-2992,2832965,2834260,-
,G133T-2991,2832368,2832880,-
 // ,G133T-2990 // G133T-2989,2830987 // 2829605,2832198 // 2830990,-
,G133T-2988,2829409,2829543,-
,G133T-2987,2828515,2829282,-
,G133T-2986,2827769,2828452,-
,G133T-2985,2826792,2827718,+
 //  //  //  //  //  //  //  // ,G133T-2984 // G133T-2983 // G133T-2982 // G133T-2981 // G133T-2980 // G133T-2979 // G133T-2978 // G133T-2977 // G133T-2976,2826103 // 2825280 // 2824454 // 2823713 // 2822976 // 2822200 // 2821199 // 2820903 // 2819578,2826639 // 2826089 // 2825266 // 2824432 // 2823683 // 2822979 // 2822203 // 2821184 // 2820906,-
 //  // ,G133T-2975 // G133T-2974 // G133T-2973,2818839 // 2817571 // 2816650,2819531 // 2818821 // 2817552,-
,G133T-2972,2815155,2816474,-
,G133T-2971,2814834,2815136,+
 // ,G133T-2970 // G133T-2969,2814666 // 2813762,2814779 // 2814703,-
 // ,G133T-297 // G133T-296,266724 // 265361,267668 // 266713,+
,G133T-2968,2813553,2813744,+
 // ,G133T-2967 // G133T-2966,2812948 // 2812610,2813451 // 2812951,+
,G133T-2965,2809123,2812470,-
,G133T-2964,2807754,2808986,-
 // ,G133T-2963 // G133T-2962,2806547 // 2805585,2807419 // 2806562,-
,G133T-2961,2805426,2805539,+
 // ,G133T-2960 // G133T-2959,2804442 // 2802642,2805401 // 2804399,-
,G133T-2958,2802166,2802549,-
,G133T-2957,2801018,2802133,+
,G133T-2956,2800457,2800921,-
,G133T-2955,2800353,2800496,+
 //  // ,G133T-2954 // G133T-2953 // G133T-2952,2799005 // 2797570 // 2796588,2800123 // 2798841 // 2797526,-
,G133T-2951,2796438,2796566,+
 // ,G133T-2950 // G133T-2949,2795654 // 2793922,2796376 // 2795661,-
 // ,G133T-295 // G133T-294,264196 // 262737,265179 // 264173,-
 // ,G133T-2948 // G133T-2947,2791036 // 2790183,2793678 // 2791019,-
 // ,G133T-2946 // G133T-2945,2789385 // 2788776,2790017 // 2789369,-
 // ,G133T-2944 // G133T-2943,2787892 // 2786678,2788734 // 2787868,+
,G133T-2942,2786114,2786494,-
,G133T-2941,2784886,2785908,-
,G133T-2940,2784267,2784647,-
,G133T-2939,2783535,2783993,-
 //  // ,G133T-2938 // G133T-2937 // G133T-2936,2782002 // 2781039 // 2780364,2783420 // 2781974 // 2781005,-
,G133T-2935,2779440,2780285,-
,G133T-2934,2779115,2779258,+
,G133T-2933,2777111,2779042,-
,G133T-2932,2776240,2777070,+
,G133T-2931,2774340,2776121,-
,G133T-2930,2773637,2774362,-
,G133T-293,262612,262725,+
 // ,G133T-2929 // G133T-2928,2773063 // 2772346,2773503 // 2773041,-
 // ,G133T-2927 // G133T-2926,2771649 // 2771487,2772314 // 2771645,+
 //  // ,G133T-2925 // G133T-2924 // G133T-2923,2770682 // 2770469 // 2770078,2771185 // 2770669 // 2770437,-
,G133T-2922,2769752,2770021,-
,G133T-2921,2769344,2769736,+
,G133T-2920,2768075,2769160,-
,G133T-292,261661,262608,-
,G133T-2919,2766907,2767878,-
 //  //  //  //  //  //  //  // ,G133T-2918 // G133T-2917 // G133T-2916 // G133T-2915 // G133T-2914 // G133T-2913 // G133T-2912 // G133T-2911 // G133T-2910,2765239 // 2763543 // 2762837 // 2762041 // 2760860 // 2759528 // 2758551 // 2757705 // 2756184,2766729 // 2765225 // 2763526 // 2762850 // 2762044 // 2760829 // 2759492 // 2758550 // 2757686,-
,G133T-291,260128,261474,-
,G133T-2909,2754236,2756032,-
,G133T-2908,2753821,2754063,-
 // ,G133T-2907 // G133T-2906,2752448 // 2751039,2753782 // 2752451,+
,G133T-2905,2749830,2750936,+
,G133T-2904,2749546,2749761,+
,G133T-2903,2748681,2749427,-
,G133T-2902,2748408,2748614,+
 // ,G133T-2901 // G133T-2900,2747292 // 2744862,2748326 // 2747276,-
,G133T-290,259021,260091,+
,G133T-29,29772,30035,+
,G133T-2899,2743885,2744826,+
 // ,G133T-2898 // G133T-2897,2743494 // 2742954,2743751 // 2743487,-
 //  // ,G133T-2896 // G133T-2895 // G133T-2894,2741168 // 2738790 // 2738371,2742880 // 2741147 // 2738775,-
,G133T-2893,2736500,2738182,-
 //  //  // ,G133T-2892 // G133T-2891 // G133T-2890 // G133T-2889,2735811 // 2735020 // 2734232 // 2733219,2736395 // 2735796 // 2735005 // 2734196,-
 // ,G133T-289 // G133T-288,258537 // 257796,258812 // 258503,+
,G133T-2888,2733083,2733244,+
 // ,G133T-2887 // G133T-2886,2731515 // 2731337,2733023 // 2731528,-
,G133T-2885,2731218,2731340,+
,G133T-2884,2730878,2731192,-
,G133T-2883,2728970,2730742,-
,G133T-2882,2727374,2728600,-
,G133T-2881,2726884,2727330,+
 //  // ,G133T-2880 // G133T-2879 // G133T-2878,2725983 // 2724189 // 2723425,2726591 // 2725949 // 2724186,-
,G133T-2877,2722921,2723364,-
,G133T-2876,2722581,2722805,-
,G133T-2875,2722331,2722447,+
 // ,G133T-2874 // G133T-2873,2721897 // 2721071,2722337 // 2721886,-
,G133T-2872,2719856,2720956,-
 //  //  // ,G133T-2871 // G133T-2870 // G133T-2869 // G133T-2868,2719008 // 2718399 // 2717874 // 2717670,2719745 // 2718986 // 2718383 // 2717743,-
 // ,G133T-287 // G133T-286,256828 // 254912,257577 // 256807,-
 //  // ,G133T-2867 // G133T-2866 // G133T-2865,2716785 // 2716625 // 2716146,2717606 // 2716783 // 2716601,+
,G133T-2864,2715642,2715977,+
,G133T-2863,2715226,2715348,-
 //  //  //  //  //  //  //  // ,G133T-2862 // G133T-2861 // G133T-2860 // G133T-2859 // G133T-2858 // G133T-2857 // G133T-2856 // G133T-2855 // G133T-2854,2713102 // 2712587 // 2711535 // 2709992 // 2708874 // 2707406 // 2706794 // 2706678 // 2705671,2714826 // 2713105 // 2712563 // 2711485 // 2709971 // 2708824 // 2707393 // 2706809 // 2706675,-
,G133T-2853,2704169,2705443,-
,G133T-2852,2702635,2703897,-
,G133T-2851,2700825,2702483,-
 // ,G133T-2850 // G133T-2849,2698320 // 2697736,2700644 // 2698323,-
,G133T-285,253523,254767,-
,G133T-2848,2697217,2697714,+
 //  //  //  //  // ,G133T-2847 // G133T-2846 // G133T-2845 // G133T-2844 // G133T-2843 // G133T-2842,2695620 // 2694782 // 2693805 // 2693027 // 2692056 // 2690734,2696987 // 2695612 // 2694749 // 2693815 // 2693030 // 2692026,-
 // ,G133T-2841 // G133T-2840,2688876 // 2687818,2690603 // 2688843,-
,G133T-284,252519,253487,+
,G133T-2839,2687608,2687799,+
,G133T-2838,2684518,2687160,-
,G133T-2837,2683166,2684458,-
,G133T-2836,2683074,2683202,+
,G133T-2835,2682280,2683026,-
,G133T-2834,2681148,2682146,-
 // ,G133T-2833 // G133T-2832,2680426 // 2679694,2680995 // 2680389,-
,G133T-2831,2678589,2679602,-
 // ,G133T-2830 // G133T-2829,2677686 // 2677171,2678504 // 2677689,-
,G133T-283,251432,252319,+
 // ,G133T-2828 // G133T-2827,2676438 // 2675630,2677127 // 2676436,-
 // ,G133T-2826 // G133T-2825,2674686 // 2673827,2675480 // 2674693,-
 //  // ,G133T-2824 // G133T-2823 // G133T-2822,2673372 // 2673031 // 2672734,2673680 // 2673369 // 2673018,-
,G133T-2821,2672491,2672613,+
 // ,G133T-2820 // G133T-2819,2671835 // 2670515,2672413 // 2671801,-
,G133T-282,249984,251324,+
 // ,G133T-2818 // G133T-2817,2670011 // 2669137,2670454 // 2669994,-
 // ,G133T-2816 // G133T-2815,2668570 // 2667408,2669112 // 2668610,+
 //  // ,G133T-2814 // G133T-2813 // G133T-2812,2665725 // 2664902 // 2663809,2667320 // 2665771 // 2664915,-
,G133T-2811,2662529,2663692,-
,G133T-2810,2661785,2662381,-
,G133T-281,249600,249878,+
,G133T-2809,2660960,2661742,-
,G133T-2808,2659465,2660919,+
 // ,G133T-2807 // G133T-2806,2659161 // 2658885,2659301 // 2659154,+
,G133T-2805,2658657,2658779,-
,G133T-2804,2657964,2658611,+
,G133T-2803,2656701,2657726,-
,G133T-2802,2655323,2656630,-
,G133T-2801,2654763,2655275,-
 //  //  //  //  // ,G133T-2800 // G133T-2799 // G133T-2798 // G133T-2797 // G133T-2796 // G133T-2795,2654019 // 2653004 // 2652811 // 2651753 // 2650581 // 2650278,2654624 // 2654008 // 2653011 // 2652781 // 2651726 // 2650547,-
 //  // ,G133T-280 // G133T-279 // G133T-278,248754 // 248273 // 247767,249545 // 248761 // 248282,+
